nrg_bal,siec,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FC_E,TOTAL,KTOE,SI	4861.181 	5233.429 	4808.014 	5009.495 	4999.171 	4872.897 	4771.021 	4564.590 	4659.984 	4854.883 	4925.705 	4943.839 
FC_E,TOTAL,KTOE,SK	10182.575 	10530.734 	9654.671 	10371.086 	9732.586 	9198.465 	9412.124 	8740.489 	8939.677 	9225.739 	9903.027 	: 
FC_E,TOTAL,KTOE,TR	71033.210 	68295.558 	67500.337 	71034.496 	76073.221 	79140.266 	78371.962 	80816.587 	86846.978 	90318.129 	100457.057 	: 
FC_E,TOTAL,KTOE,UA	77638.368 	75580.810 	63324.836 	68387.540 	69646.492 	66404.075 	65144.066 	57893.824 	47488.152 	48822.317 	47350.279 	: 
FC_E,TOTAL,KTOE,UK	133082.572 	132994.306 	124351.970 	130080.082 	118840.372 	122658.595 	123395.413 	116594.343 	120111.691 	122607.322 	121221.495 	: 
FC_E,TOTAL,KTOE,XK	1053.638 	1163.412 	1168.988 	1190.842 	1266.098 	1219.372 	1167.578 	1230.700 	1339.928 	1433.037 	1516.064 	: 
FC_IND_E,TOTAL,KTOE,AL	258.050 	228.550 	282.307 	354.766 	379.510 	276.800 	281.446 	372.753 	302.114 	283.644 	398.286 	: 
FC_IND_E,TOTAL,KTOE,AT	7382.006 	7299.864 	7126.845 	7493.724 	7537.945 	7504.294 	7769.701 	7755.664 	7602.740 	7810.002 	8052.275 	: 
FC_IND_E,TOTAL,KTOE,BA	: 	: 	: 	: 	: 	: 	: 	717.286 	756.627 	754.104 	829.078 	: 
FC_IND_E,TOTAL,KTOE,BE	10692.860 	10280.096 	9988.049 	10760.367 	10330.992 	10461.068 	10754.277 	10635.944 	10587.886 	10665.120 	10483.619 	10669.361 
FC_IND_E,TOTAL,KTOE,BG	3811.005 	3453.833 	2442.067 	2549.952 	2696.442 	2566.574 	2595.518 	2617.511 	2719.628 	2655.462 	2753.640 	2730.487 
FC_IND_E,TOTAL,KTOE,CY	294.967 	297.132 	261.129 	236.322 	210.304 	173.464 	186.089 	225.539 	211.592 	215.369 	234.200 	227.688 
FC_IND_E,TOTAL,KTOE,CZ	8303.898 	7946.523 	7355.363 	6888.698 	6770.870 	6721.828 	6421.714 	6325.607 	6471.744 	6407.640 	6726.801 	6686.421 
FC_IND_E,TOTAL,KTOE,DE	57342.826 	56395.879 	49984.775 	55261.458 	55929.885 	55087.966 	55145.270 	54857.548 	55230.717 	55832.872 	56272.562 	: 
FC_IND_E,TOTAL,KTOE,DK	2831.427 	2716.483 	2352.499 	2446.489 	2442.274 	2303.355 	2179.392 	2122.792 	2190.530 	2249.289 	2364.193 	2392.817 
FC_IND_E,TOTAL,KTOE,EA19	219451.272 	212332.955 	183534.365 	195084.909 	193087.667 	189099.780 	186918.195 	184610.228 	183862.396 	186481.915 	187950.134 	: 
FC_IND_E,TOTAL,KTOE,EE	771.683 	756.280 	538.805 	574.594 	606.819 	572.727 	644.304 	554.780 	523.574 	453.187 	456.230 	: 
FC_IND_E,TOTAL,KTOE,EL	4616.941 	4230.259 	3461.053 	3471.477 	3322.487 	2991.578 	2835.194 	3087.964 	3128.090 	3072.764 	3096.274 	: 
FC_IND_E,TOTAL,KTOE,ES	26627.198 	25076.089 	20693.264 	20776.975 	20602.546 	20088.387 	19587.584 	19293.488 	18205.959 	18378.539 	18973.788 	: 
FC_IND_E,TOTAL,KTOE,EU28	303830.720 	293523.255 	253501.013 	267927.058 	265388.063 	260168.542 	257899.354 	254669.213 	254519.364 	257056.348 	261036.787 	: 
FC_IND_E,TOTAL,KTOE,FI	11888.187 	11252.188 	9377.463 	10719.081 	10521.338 	10236.074 	10277.700 	10227.572 	10213.923 	10527.166 	10718.873 	: 
FC_IND_E,TOTAL,KTOE,FR	32213.063 	31703.038 	26277.930 	27739.013 	28200.303 	28061.228 	28011.141 	26950.871 	26877.424 	27565.211 	26751.646 	27263.339 
FC_IND_E,TOTAL,KTOE,GE	: 	: 	: 	: 	: 	: 	644.921 	677.945 	693.166 	679.504 	758.151 	: 
FC_IND_E,TOTAL,KTOE,HR	1665.800 	1680.856 	1413.799 	1367.114 	1286.535 	1137.976 	1116.859 	1097.895 	1090.219 	1087.592 	1179.599 	1192.018 
FC_IND_E,TOTAL,KTOE,HU	3073.725 	3081.380 	2424.570 	2604.791 	2998.149 	3182.392 	3725.701 	3761.514 	3948.171 	4045.242 	4352.174 	4453.040 
FC_IND_E,TOTAL,KTOE,IE	2471.178 	2443.172 	2108.765 	2144.841 	2230.683 	2192.999 	2186.456 	2240.356 	2379.622 	2438.395 	2478.346 	2599.997 
FC_IND_E,TOTAL,KTOE,IS	958.277 	1299.751 	1307.810 	1299.919 	1324.183 	1359.322 	1424.410 	1442.055 	1460.048 	1444.185 	1500.751 	: 
FC_IND_E,TOTAL,KTOE,IT	35907.652 	34528.295 	28552.887 	29014.718 	27744.858 	26948.704 	25353.587 	24739.085 	24853.372 	25088.949 	24925.749 	24302.242 
FC_IND_E,TOTAL,KTOE,LT	1116.536 	1010.085 	872.141 	949.629 	1013.346 	1071.759 	1037.327 	1033.722 	982.755 	988.969 	1070.923 	1105.539 
FC_IND_E,TOTAL,KTOE,LU	807.232 	786.682 	675.083 	754.673 	725.432 	679.231 	646.728 	656.965 	645.726 	674.059 	622.778 	630.591 
FC_IND_E,TOTAL,KTOE,LV	722.775 	679.176 	651.715 	773.847 	747.755 	827.436 	767.643 	791.158 	787.780 	748.955 	793.357 	897.892 
FC_IND_E,TOTAL,KTOE,ME	384.858 	385.846 	233.276 	199.250 	226.735 	203.208 	183.351 	133.191 	131.817 	119.841 	132.328 	: 
FC_IND_E,TOTAL,KTOE,MK	678.777 	648.986 	427.237 	542.230 	633.919 	579.083 	555.332 	517.614 	474.779 	441.262 	383.412 	: 
FC_IND_E,TOTAL,KTOE,MT	57.395 	59.802 	51.930 	44.120 	39.867 	43.762 	42.896 	45.053 	45.824 	44.517 	57.210 	: 
FC_IND_E,TOTAL,KTOE,NL	15426.418 	14874.581 	13364.832 	14419.115 	13868.115 	13680.331 	13501.617 	13236.593 	13429.346 	13780.902 	13844.552 	: 
FC_IND_E,TOTAL,KTOE,NO	6481.272 	6606.664 	5475.767 	6125.333 	6112.230 	5908.794 	5847.999 	5762.072 	5902.225 	5900.185 	6042.216 	: 
FC_IND_E,TOTAL,KTOE,PL	15249.796 	13982.544 	12823.318 	13499.290 	13961.482 	13733.264 	14210.705 	14153.252 	14095.620 	14652.420 	15841.181 	16246.869 
FC_IND_E,TOTAL,KTOE,PT	5843.415 	5523.427 	5211.179 	5453.529 	5349.444 	4606.019 	4599.072 	4405.956 	4412.064 	4381.886 	4525.728 	4571.263 
FC_IND_E,TOTAL,KTOE,RO	8336.571 	8318.681 	6144.626 	6484.195 	7059.692 	6748.255 	6272.845 	6427.425 	6418.898 	6263.796 	6390.247 	6589.617 
FC_IND_E,TOTAL,KTOE,RS	3709.896 	2911.863 	1992.663 	2428.856 	2740.411 	2463.907 	2395.892 	1955.234 	2103.134 	2246.182 	2347.586 	: 
FC_IND_E,TOTAL,KTOE,SE	11983.515 	11434.079 	10647.595 	11396.233 	11131.294 	11051.531 	10830.451 	10589.459 	10895.938 	10773.261 	10816.537 	: 
FC_IND_E,TOTAL,KTOE,SI	1606.123 	1485.338 	1221.108 	1274.056 	1236.892 	1207.414 	1197.649 	1231.215 	1228.022 	1242.314 	1295.608 	1386.907 
FC_IND_E,TOTAL,KTOE,SK	3662.817 	3651.572 	3118.543 	3224.086 	3255.331 	3233.817 	3114.817 	3241.628 	3333.371 	3308.576 	3452.442 	: 
FC_IND_E,TOTAL,KTOE,TR	24066.806 	17559.116 	18944.871 	22315.535 	24891.605 	25566.818 	24029.040 	25101.897 	26109.622 	26330.093 	32114.358 	: 
FC_IND_E,TOTAL,KTOE,UA	32852.702 	30203.310 	22236.711 	24938.886 	25810.737 	23981.954 	21841.758 	20568.374 	16377.631 	15509.004 	15093.565 	: 
FC_IND_E,TOTAL,KTOE,UK	29123.891 	28572.685 	24360.055 	25596.576 	23952.179 	23613.280 	23643.762 	22967.768 	22867.527 	22471.641 	22745.204 	: 
FC_IND_E,TOTAL,KTOE,XK	255.691 	248.264 	241.752 	277.582 	307.986 	273.752 	262.900 	245.253 	307.181 	281.257 	313.240 	: 
FC_OTH_CP_E,TOTAL,KTOE,AL	100.258 	161.636 	173.753 	159.469 	163.473 	157.272 	190.984 	179.239 	196.902 	175.590 	213.657 	: 
FC_OTH_CP_E,TOTAL,KTOE,AT	2703.815 	2970.805 	2637.072 	2759.690 	2570.369 	2512.620 	2397.409 	2364.381 	2418.361 	2347.229 	2386.569 	: 
FC_OTH_CP_E,TOTAL,KTOE,BA	: 	: 	: 	: 	: 	: 	: 	163.649 	357.703 	435.411 	355.674 	: 
FC_OTH_CP_E,TOTAL,KTOE,BE	3886.042 	4671.579 	4541.047 	4943.736 	4398.899 	4508.188 	4900.787 	4208.327 	4576.641 	4604.586 	4594.669 	4596.936 
FC_OTH_CP_E,TOTAL,KTOE,BG	918.492 	982.448 	970.058 
